DiagnosticAttemptId,UserId,theta,true_toeic,pred_score,abs_error
181,183,-0.720249,300.0,410.52,110.52
182,184,-1.516772,300.0,295.09,4.91
183,185,-0.720249,300.0,410.52,110.52
184,186,-2.214171,300.0,194.02,105.98
185,187,-1.010392,300.0,368.48,68.48
186,188,-1.516772,306.0,295.09,10.91
187,189,-1.516772,311.0,295.09,15.91
188,190,-0.720249,320.0,410.52,90.52
189,191,-1.718059,337.0,265.92,71.08
190,192,-1.010392,342.0,368.48,26.48
191,193,-0.450546,352.0,449.61,97.61
192,194,-0.720249,379.0,410.52,31.52
193,195,-0.583481,383.0,430.34,47.34
194,196,-0.720249,395.0,410.52,15.52
195,197,-1.010392,395.0,368.48,26.52
196,198,-0.862058,405.0,389.97,15.03
197,199,-1.010392,420.0,368.48,51.52
198,200,-0.192216,460.0,487.04,27.04
199,201,-0.450546,466.0,449.61,16.39
200,202,-0.320422,472.0,468.47,3.53
201,203,0.06164,483.0,523.83,40.83
202,204,0.188804,489.0,542.26,53.26
203,205,0.717759,510.0,618.92,108.92
204,206,0.188804,511.0,542.26,31.26
205,207,0.31714,516.0,560.86,44.86
206,208,-0.320422,519.0,468.47,50.53
207,209,0.717759,535.0,618.92,83.92
208,210,0.447461,539.0,579.75,40.75
209,211,-0.320422,549.0,468.47,80.53
210,212,0.188804,563.0,542.26,20.74
211,213,0.06164,579.0,523.83,55.17
212,214,-0.065117,581.0,505.46,75.54
213,215,0.58066,597.0,599.05,2.05
214,216,0.31714,602.0,560.86,41.14
215,217,0.58066,618.0,599.05,18.95
216,218,1.334319,633.0,708.27,75.27
217,219,1.00877,665.0,661.09,3.91
218,220,1.334319,695.0,708.27,13.27
219,221,1.166056,705.0,683.88,21.12
220,222,1.948103,713.0,797.22,84.22
221,223,0.859967,718.0,639.53,78.47
222,224,0.717759,724.0,618.92,105.08
223,225,1.166056,734.0,683.88,50.12
224,226,1.334319,751.0,708.27,42.73
225,227,1.948103,763.0,797.22,34.22
226,228,1.51699,801.0,734.74,66.26
227,229,2.216911,806.0,836.17,30.17
228,230,1.00877,823.0,661.09,161.91
229,231,1.948103,825.0,797.22,27.78
230,232,1.948103,844.0,797.22,46.78
